provnum,overall_rating,survey_rating,staffing_rating,RN_staffing_rating,quality_rating,ssf,restot,ownership
335857,3,2,3,2,5,N,160,"Non profit - Corporation"
15091,2,1,4,4,5,N,133,"For profit - Partnership"
335858,5,4,4,4,5,N,32,"Non profit - Corporation"
335859,3,2,4,3,2,N,32,"Non profit - Corporation"
335860,4,3,5,5,3,N,23,"Non profit - Other"
335861,4,3,4,5,4,N,47,"Non profit - Corporation"
335862,5,5,5,5,5,N,8,"Non profit - Corporation"
335863,5,5,0,0,3,N,20,"Non profit - Corporation"
335864,5,5,0,0,5,N,1,"Non profit - Corporation"
335865,4,4,0,0,4,N,162,"Non profit - Corporation"
335866,4,5,5,5,1,N,12,"Government - County"
335868,0,0,0,0,0,N,5,"Non profit - Corporation"
15097,3,2,3,2,5,N,70,"For profit - Corporation"
33A081,5,4,0,0,5,N,91,"Non profit - Corporation"
33A246,5,4,5,5,5,N,136,"Non profit - Corporation"
345000,2,1,2,2,5,N,95,"For profit - Corporation"
345001,5,5,0,0,5,N,59,"For profit - Corporation"
345002,4,4,2,3,3,N,79,"For profit - Corporation"
345003,5,5,4,4,4,N,74,"For profit - Corporation"
345004,1,1,3,3,4,N,57,"For profit - Individual"
345006,2,2,1,2,5,N,126,"For profit - Corporation"
345008,2,1,4,4,4,N,93,"For profit - Corporation"
345009,5,5,3,5,5,N,48,"For profit - Corporation"
15098,5,3,4,4,5,N,102,"Non profit - Church related"
345010,1,1,2,3,4,N,73,"For profit - Partnership"
345011,1,2,1,2,2,N,92,"For profit - Limited Liability company"
345013,4,3,4,4,4,N,134,"For profit - Corporation"
345014,2,2,2,3,4,N,95,"For profit - Corporation"
345015,4,4,2,2,3,N,90,"For profit - Corporation"
345024,4,3,3,3,5,N,104,"For profit - Corporation"
345026,2,2,1,2,5,N,131,"For profit - Corporation"
345036,3,2,2,2,5,N,132,"Non profit - Church related"
345039,2,1,1,2,5,N,127,"For profit - Corporation"
345044,3,3,3,2,4,N,151,"Non profit - Corporation"
15100,3,2,4,4,4,N,137,"For profit - Corporation"
345045,4,3,5,5,3,N,47,"Non profit - Corporation"
345048,2,1,4,3,4,N,88,"For profit - Corporation"
345049,4,3,4,5,4,N,148,"For profit - Corporation"
345050,4,3,3,2,5,N,140,"For profit - Corporation"
345051,2,1,1,2,5,N,76,"Non profit - Corporation"
345053,4,4,2,3,3,N,82,"For profit - Corporation"
345054,4,4,4,3,4,N,110,"Non profit - Corporation"
345061,2,1,4,5,5,N,109,"For profit - Corporation"
345063,5,3,4,3,5,N,95,"For profit - Corporation"
345066,5,5,4,3,5,N,95,"For profit - Corporation"
15101,2,1,4,5,5,N,49,"For profit - Corporation"
345070,2,1,4,5,3,N,106,"For profit - Corporation"
345072,4,4,1,2,5,N,93,"For profit - Corporation"
345077,5,5,4,5,5,N,90,"For profit - Corporation"
345078,4,2,5,5,5,N,53,"Non profit - Corporation"
345080,3,2,2,2,5,N,91,"For profit - Corporation"
345081,4,3,4,4,4,N,97,"For profit - Corporation"
345083,3,4,4,3,1,N,75,"For profit - Corporation"
345085,5,3,4,3,5,N,39,"For profit - Corporation"
345088,3,2,4,4,4,N,109,"Non profit - Church related"
345089,1,2,1,1,3,N,88,"For profit - Corporation"
15103,1,1,3,3,3,N,134,"For profit - Corporation"
345090,2,1,1,2,5,N,127,"Non profit - Corporation"
345091,5,5,5,5,5,N,81,"Non profit - Corporation"
345092,1,1,2,2,3,N,193,"For profit - Corporation"
345093,5,5,4,4,3,N,104,"Non profit - Corporation"
345095,4,4,4,4,3,N,76,"Non profit - Corporation"
345096,4,3,4,4,4,N,159,"Non profit - Corporation"
345097,3,2,4,5,3,N,63,"Non profit - Other"
345101,1,1,1,2,3,N,54,"For profit - Corporation"
345102,2,1,4,3,2,N,80,"For profit - Corporation"
345103,5,3,4,3,5,N,133,"For profit - Individual"
15104,4,4,1,2,5,N,78,"For profit - Corporation"
345104,5,4,3,3,5,N,52,"For profit - Corporation"
345105,1,1,2,4,4,N,78,"For profit - Corporation"
345106,5,4,4,4,5,N,107,"Non profit - Church related"
